english;french;iso3166
Canada;Canada;CA
Québec;Québec;CA-QC
Alberta;Alberta;CA-AB
British Columbia;Colombie-Britannique;CA-BC
Manitoba;Manitoba;CA-MB
New Brunswick;Nouveau-Brunswick;CA-NB
Newfoundland and Labrador;Terre-Neuve-et-Labrador;CA-NL
Nova Scotia;Nouvelle-Écosse;CA-NS
Ontario;Ontario;CA-ON
Prince Edward Island;Île-du-Prince-Édouard;CA-PE
Quebec;Québec;CA-QC
Saskatchewan;Saskatchewan;CA-SK
Northwest Territories;Territoires du Nord-Ouest;CA-NT
Nunavut;Nunavut;CA-NU
Yukon;Yukon;CA-YT
Atlantic provinces;Provinces de l'Atlantique;CA-AP
Yukon, Northwest Territories and Nunavut;Yukon, Northwest Territories and Nunavut;CA-YN
From Other Provinces;From Other Provinces;CA-OP