source;target;quantity;year;geo;tag
Coal Production;Fossil Fuels;1354015;2015;Canada;root
Natural Gas Production;Fossil Fuels;6473346;2015;Canada;root
Crude Oil Production;Fossil Fuels;8840768;2015;Canada;root
NGLs Production;Fossil Fuels;677715;2015;Canada;root
Fossil Fuels;Domestic Production;17345844;2015;Canada;root
Primary Electricity Production;Domestic Production;1809683;2015;Canada;root
Secondary Electricity Production;Domestic Production;504069;2015;Canada;root
Crude Oil Imports;Imported Energy;1737710;2015;Canada;root
Refined Petroleum Product Imports;Imported Energy;654966;2015;Canada;root
Coal Imports;Imported Energy;1;2015;Canada;root
Natural Gas Imports;Imported Energy;770134;2015;Canada;root
NGLs Imports;Imported Energy;73300;2015;Canada;root
Electricity Imports;Imported Energy;10327;2015;Canada;root
Coke Imports;Imported Energy;16723;2015;Canada;root
Domestic Production;Total Supply;19659596;2015;Canada;root
Imported Energy ;Total Supply;3246438;2015;Canada;root
Adjustments;Total Supply;2288510;2015;Canada;root
Total Supply;Crude Oil Exports;6931876;2015;Canada;root
Total Supply;Natural Gas Exports;3070656;2015;Canada;root
Total Supply;Coal Exports;1;2015;Canada;root
Total Supply;NGLs Exports;205287;2015;Canada;root
Total Supply;Electricity Exports;246946;2015;Canada;root
Total Supply;Coke Exports;1;2015;Canada;root
Total Supply;Refined Petroleum Product Exports;1017387;2015;Canada;root
Crude Oil Exports;Exported Energy;6931876;2015;Canada;root
Natural Gas Exports;Exported Energy;3070656;2015;Canada;root
Coal Exports;Exported Energy;1;2015;Canada;root
NGLs Exports;Exported Energy;205287;2015;Canada;root
Electricity Exports;Exported Energy;246946;2015;Canada;root
Coke Exports;Exported Energy;1;2015;Canada;root
Refined Petroleum Product Exports;Exported Energy;1017387;2015;Canada;root
Total Supply;Total Consumption;11450602;2015;Canada;root
Total Consumption;Residential;1379356;2015;Canada;root
Total Consumption;Agricultural;296159;2015;Canada;root
Total Consumption;Commerical;981932;2015;Canada;root
Total Consumption;Public Administration;121798;2015;Canada;root
Total Consumption;Industrial Use;2550535;2015;Canada;root
Total Consumption;Transportation Use;2688316;2015;Canada;root
Total Consumption;Transformations;5774959;2015;Canada;root
Total Consumption;Non-energy Use;1016367;2015;Canada;root
Total Consumption;Producer Consumption;1414290;2015;Canada;root